,name,resultant,stimulus,rate,effect,Kd,n
0,"interaction1","PTEN","LPS","LPSstim",1,,
1,"interaction2","pPTEN","LPS","LPSstim",-1,,
2,"interaction3","PTEN","bpV","BPVstim",-1,,
3,"interaction4","pPTEN","bpV","BPVstim",1,,
4,"interaction5","pPI3K","LY294002","LY294002stim",-1,,
5,"interaction6","PI3K","LY294002","LY294002stim",1,,
6,"interaction7","GSK3B","HDACi","HDACIstim",1,,
7,"interaction8","pAKT","PTEN","AKTphos",-1,"Knegativefeedback","n1"
8,"interaction9","pAKT","pPI3K","AKTphos",1,"Kpositivefeedback","n2"
9,"interaction10","AKT","PTEN","AKTphos",-1,"Knegativefeedback","n1"
10,"interaction11","AKT","pPI3K","AKTphos",1,"Kpositivefeedback","n2"
11,"interaction12","pGSK3B","pAKT","GSK3Bphos",1,,
12,"interaction13","GSK3B","pAKT","GSK3Bphos",-1,,
13,"interaction14","PTEN","GSK3B","PTENphos",1,,
14,"interaction15","pPTEN","GSK3B","PTENphos",-1,,
15,"interaction16","PTEN","pPTEN","LPSstim",1,,
16,"interaction17","pPTEN","pPTEN","LPSstim",-1,,
17,"interaction18","PTEN","PTEN","BPVstim",-1,,
18,"interaction19","pPTEN","PTEN","BPVstim",1,,
19,"interaction20","pPI3K","pPI3K","LY294002stim",-1,,
20,"interaction21","PI3K","pPI3K","LY294002stim",1,,